Имот,Сопственост,Тип имот,Вредност,Карактеристика,Основ на стекнување

Банкарски депозити,Имот на брачен другар,Девизна штедна книшка,"EUR 10,00",НЛБ Тутунска банка  2002,Стекнување на друг начин
Банкарски депозити,Имот на брачен другар,Трансакциона сметка,плата,Шпаркасе банка месечно,Стекнување на друг начин
Банкарски депозити,Личен имот,Девизна штедна книшка,"GBP 1.200,00",НЛБ Тутунска банка  2004,Стекнување на друг начин
Банкарски депозити,Личен имот,Денарска штедна книшка,"денари 80.505,00",Уни банка  2013,Стекнување на друг начин
Долгови,Заеднички имот,Кредит,"14.000,00 евра",2012 2015,
Долгови,Имот на брачен другар,Заем,"614.000,00 денари",2013 2 години,
Друг имот,Заеднички имот,Уметнички слики,"3.000,00 евра",,Стекнување со договор за подарок
Други приходи,Имот на брачен другар,Закуп на недвижен имот,"300,00 евра",месечно,
Други приходи,Имот на брачен другар,Приходи од ангажман во приватен сектор,"12.000,00 денари",месечно,
Други приходи,Личен имот,плата,нема податок,-,
Недвижен имот,Имот на брачен другар,Стан со гаража,"6.089.913,00 денари",63 м2 со 25 м2 Скопје 2013 1/1,Стекнување со договор за купопродажба
Недвижен имот,Личен имот,Стан со гаража и помошни простории,"7.442.798,00 денари",91 м2 со 26 м2 и 65 м2 Скопје 2013 1/1,Стекнување со договор за купопродажба
Подвижен имот,Имот на брачен другар,Моторни возила,"926.250,00 денари",Фолксваген Голф 6 2010/2013,Стекнување со договор за купопродажба
Подвижен имот,Личен имот,Оружје,нема податок,Брно 2 -/-,Стекнување со договор за подарок
Подвижен имот,Личен имот,Оружје,нема податок,Валтер П22 -/2013,Стекнување со договор за подарок